"Belgium","Region","Year","Total","Gender","Employment rate","Unemployment rate","Activity rate"
"Belgium","Brussels-Capital region","1999","Total","Males",0.604,0.16,0.719
"Belgium","Brussels-Capital region","1999","Total","Females",0.479,0.157,0.569
"Belgium","Brussels-Capital region","1999","Total",,0.541,0.159,0.643
"Belgium","Brussels-Capital region","2000","Total","Males",0.612,0.142,0.713
"Belgium","Brussels-Capital region","2000","Total","Females",0.489,0.137,0.567
"Belgium","Brussels-Capital region","2000","Total",,0.55,0.14,0.639
"Belgium","Brussels-Capital region","2001","Total","Males",0.613,0.127,0.702
"Belgium","Brussels-Capital region","2001","Total","Females",0.467,0.134,0.539
"Belgium","Brussels-Capital region","2001","Total",,0.539,0.13,0.62
"Belgium","Brussels-Capital region","2002","Total","Males",0.609,0.149,0.716
"Belgium","Brussels-Capital region","2002","Total","Females",0.482,0.146,0.564
"Belgium","Brussels-Capital region","2002","Total",,0.545,0.147,0.639
"Belgium","Brussels-Capital region","2003","Total","Males",0.591,0.161,0.705
"Belgium","Brussels-Capital region","2003","Total","Females",0.474,0.153,0.559
"Belgium","Brussels-Capital region","2003","Total",,0.532,0.158,0.631
"Belgium","Brussels-Capital region","2004","Total","Males",0.603,0.163,0.721
"Belgium","Brussels-Capital region","2004","Total","Females",0.479,0.154,0.567
"Belgium","Brussels-Capital region","2004","Total",,0.541,0.159,0.643
"Belgium","Brussels-Capital region","2005","Total","Males",0.62,0.164,0.741
"Belgium","Brussels-Capital region","2005","Total","Females",0.479,0.165,0.573
"Belgium","Brussels-Capital region","2005","Total",,0.548,0.165,0.657
"Belgium","Brussels-Capital region","2006","Total","Males",0.605,0.173,0.731
"Belgium","Brussels-Capital region","2006","Total","Females",0.466,0.182,0.569
"Belgium","Brussels-Capital region","2006","Total",,0.534,0.177,0.649
"Belgium","Brussels-Capital region","2007","Total","Males",0.614,0.173,0.742
"Belgium","Brussels-Capital region","2007","Total","Females",0.483,0.17,0.582
"Belgium","Brussels-Capital region","2007","Total",,0.548,0.172,0.661
"Belgium","Brussels-Capital region","2008","Total","Males",0.629,0.155,0.745
"Belgium","Brussels-Capital region","2008","Total","Females",0.484,0.167,0.581
"Belgium","Brussels-Capital region","2008","Total",,0.556,0.16,0.662
"Belgium","Brussels-Capital region","2009","Total","Males",0.61,0.159,0.726
"Belgium","Brussels-Capital region","2009","Total","Females",0.493,0.158,0.585
"Belgium","Brussels-Capital region","2009","Total",,0.551,0.159,0.655
"Belgium","Brussels-Capital region","2010","Total","Males",0.61,0.169,0.734
"Belgium","Brussels-Capital region","2010","Total","Females",0.487,0.18,0.593
"Belgium","Brussels-Capital region","2010","Total",,0.548,0.174,0.663
"Belgium","Brussels-Capital region","2011","Total","Males",0.592,0.184,0.725
"Belgium","Brussels-Capital region","2011","Total","Females",0.486,0.155,0.575
"Belgium","Brussels-Capital region","2011","Total",,0.538,0.171,0.649
"Belgium","Brussels-Capital region","2012","Total","Males",0.594,0.181,0.725
"Belgium","Brussels-Capital region","2012","Total","Females",0.486,0.168,0.583
"Belgium","Brussels-Capital region","2012","Total",,0.54,0.175,0.654
"Belgium","Brussels-Capital region","2013","Total","Males",0.567,0.212,0.719
"Belgium","Brussels-Capital region","2013","Total","Females",0.485,0.17,0.584
"Belgium","Brussels-Capital region","2013","Total",,0.525,0.193,0.651
"Belgium","Brussels-Capital region","2014","Total","Males",0.588,0.203,0.738
"Belgium","Brussels-Capital region","2014","Total","Females",0.498,0.162,0.594
"Belgium","Brussels-Capital region","2014","Total",,0.543,0.185,0.666
"Belgium","Brussels-Capital region","2015","Total","Males",0.592,0.187,0.729
"Belgium","Brussels-Capital region","2015","Total","Females",0.492,0.159,0.586
"Belgium","Brussels-Capital region","2015","Total",,0.542,0.175,0.657
"Belgium","Brussels-Capital region","2016","Total","Males",0.603,0.176,0.731
"Belgium","Brussels-Capital region","2016","Total","Females",0.503,0.161,0.599
"Belgium","Brussels-Capital region","2016","Total",,0.553,0.169,0.665
"Belgium","Flanders region","1999","Total","Males",0.713,0.044,0.746
"Belgium","Flanders region","1999","Total","Females",0.536,0.067,0.575
"Belgium","Flanders region","1999","Total",,0.626,0.054,0.662
"Belgium","Flanders region","2000","Total","Males",0.729,0.032,0.753
"Belgium","Flanders region","2000","Total","Females",0.547,0.058,0.581
"Belgium","Flanders region","2000","Total",,0.639,0.043,0.668
"Belgium","Flanders region","2001","Total","Males",0.721,0.036,0.748
"Belgium","Flanders region","2001","Total","Females",0.545,0.045,0.571
"Belgium","Flanders region","2001","Total",,0.634,0.04,0.661
"Belgium","Flanders region","2002","Total","Males",0.716,0.043,0.749
"Belgium","Flanders region","2002","Total","Females",0.552,0.057,0.585
"Belgium","Flanders region","2002","Total",,0.635,0.049,0.668
"Belgium","Flanders region","2003","Total","Males",0.707,0.052,0.746
"Belgium","Flanders region","2003","Total","Females",0.55,0.063,0.588
"Belgium","Flanders region","2003","Total",,0.629,0.057,0.668
"Belgium","Flanders region","2004","Total","Males",0.716,0.046,0.751
"Belgium","Flanders region","2004","Total","Females",0.567,0.066,0.607
"Belgium","Flanders region","2004","Total",,0.643,0.054,0.68
"Belgium","Flanders region","2005","Total","Males",0.718,0.048,0.754
"Belgium","Flanders region","2005","Total","Females",0.578,0.063,0.617
"Belgium","Flanders region","2005","Total",,0.649,0.055,0.686
"Belgium","Flanders region","2006","Total","Males",0.715,0.043,0.748
"Belgium","Flanders region","2006","Total","Females",0.583,0.058,0.618
"Belgium","Flanders region","2006","Total",,0.65,0.05,0.684
"Belgium","Flanders region","2007","Total","Males",0.723,0.038,0.752
"Belgium","Flanders region","2007","Total","Females",0.598,0.051,0.63
"Belgium","Flanders region","2007","Total",,0.661,0.044,0.691
"Belgium","Flanders region","2008","Total","Males",0.72,0.037,0.748
"Belgium","Flanders region","2008","Total","Females",0.608,0.042,0.634
"Belgium","Flanders region","2008","Total",,0.665,0.039,0.692
"Belgium","Flanders region","2009","Total","Males",0.709,0.05,0.746
"Belgium","Flanders region","2009","Total","Females",0.605,0.05,0.636
"Belgium","Flanders region","2009","Total",,0.658,0.05,0.692
"Belgium","Flanders region","2010","Total","Males",0.711,0.052,0.751
"Belgium","Flanders region","2010","Total","Females",0.613,0.051,0.647
"Belgium","Flanders region","2010","Total",,0.663,0.052,0.699
"Belgium","Flanders region","2011","Total","Males",0.709,0.042,0.741
"Belgium","Flanders region","2011","Total","Females",0.613,0.044,0.641
"Belgium","Flanders region","2011","Total",,0.662,0.043,0.692
"Belgium","Flanders region","2012","Total","Males",0.707,0.046,0.741
"Belgium","Flanders region","2012","Total","Females",0.61,0.045,0.639
"Belgium","Flanders region","2012","Total",,0.659,0.046,0.69
"Belgium","Flanders region","2013","Total","Males",0.706,0.051,0.745
"Belgium","Flanders region","2013","Total","Females",0.617,0.05,0.65
"Belgium","Flanders region","2013","Total",,0.662,0.051,0.698
"Belgium","Flanders region","2014","Total","Males",0.703,0.052,0.742
"Belgium","Flanders region","2014","Total","Females",0.623,0.05,0.656
"Belgium","Flanders region","2014","Total",,0.664,0.051,0.699
"Belgium","Flanders region","2015","Total","Males",0.697,0.057,0.74
"Belgium","Flanders region","2015","Total","Females",0.629,0.046,0.66
"Belgium","Flanders region","2015","Total",,0.664,0.052,0.7
"Belgium","Flanders region","2016","Total","Males",0.705,0.05,0.742
"Belgium","Flanders region","2016","Total","Females",0.625,0.047,0.656
"Belgium","Flanders region","2016","Total",,0.665,0.049,0.699
"Belgium","Walloon region","1999","Total","Males",0.644,0.101,0.717
"Belgium","Walloon region","1999","Total","Females",0.452,0.16,0.538
"Belgium","Walloon region","1999","Total",,0.548,0.127,0.628
"Belgium","Walloon region","2000","Total","Males",0.655,0.085,0.715
"Belgium","Walloon region","2000","Total","Females",0.464,0.128,0.532
"Belgium","Walloon region","2000","Total",,0.559,0.103,0.624
"Belgium","Walloon region","2001","Total","Males",0.649,0.087,0.711
"Belgium","Walloon region","2001","Total","Females",0.458,0.117,0.519
"Belgium","Walloon region","2001","Total",,0.554,0.099,0.615
"Belgium","Walloon region","2002","Total","Males",0.642,0.091,0.706
"Belgium","Walloon region","2002","Total","Females",0.456,0.127,0.522
"Belgium","Walloon region","2002","Total",,0.549,0.106,0.614
"Belgium","Walloon region","2003","Total","Males",0.635,0.101,0.706
"Belgium","Walloon region","2003","Total","Females",0.474,0.119,0.538
"Belgium","Walloon region","2003","Total",,0.554,0.109,0.622
"Belgium","Walloon region","2004","Total","Males",0.632,0.107,0.708
"Belgium","Walloon region","2004","Total","Females",0.469,0.138,0.544
"Belgium","Walloon region","2004","Total",,0.551,0.121,0.626
"Belgium","Walloon region","2005","Total","Males",0.637,0.105,0.712
